personid,female,adult,age,height_cm,weight_kg
11010101,0,1,70,164.1,48.9
11010102,0,1,32,157.3,44
11010103,1,1,28,150.3,37.7
11010104,0,0,12,146.2,30.7
11010105,1,0,11,135.1,30.2
11010201,0,1,38,174.3,67.7
11010202,1,1,30,139.7,57.3
11010203,0,0,15,163.1,59.3
11010204,0,0,10,149.2,40.7
11010205,1,0,16,153.1,43.9
11010206,0,1,40,174,53.8
11010207,1,1,35,147.5,38.9
11010208,1,0,13,149.3,38
11010209,1,0,6,109.5,16.1
11010210,1,0,1,,
11010301,0,1,50,164.6,67.4
11010302,1,1,48,145.2,35.7
11010303,1,1,22,,
11010304,1,0,.0384615,,
11010305,0,1,20,155.9,49.8
11010306,1,1,18,,
11010307,0,1,30,167.1,61.8
11010308,1,1,28,144.9,42.4
11010309,1,0,10,122.9,20.7
11010310,0,0,5,105.8,16.1
11010311,1,0,3,94,13.8
11010312,0,0,2,,8.8
11010401,0,1,62,160.5,59.5
11010402,1,1,58,156.4,51.1
11010403,0,1,39,,
11010404,1,1,36,155.5,50.7
11010405,1,0,15,150.4,43.7
11010406,1,0,2.25,81.2,10.5
11010407,1,1,55,155.6,47.2
11010408,1,0,17,146.8,36.8
11010501,0,1,30,158.1,45.4
11010502,1,1,25,136,34.6
11010503,1,0,4,89.9,11.5
11010504,1,0,3,80.5,10.3
11010601,0,1,70,157.9,46
11010602,1,1,68,145.8,38
11010603,0,1,30,171.9,55.1
11010604,1,1,28,151.7,38.2
11010605,0,0,11,130.4,23.4
11010606,1,0,10,131.4,21
11010607,0,0,8,110.5,15.3
11010608,0,0,4,99.8,14.9
11010609,1,0,3,76.7,8.9
11010701,1,1,35,155.4,45
11010702,0,0,15,162.2,49.3
11010703,1,0,10,140.4,29.6
11010704,1,0,8,127.9,20.8
11010705,0,0,6,120.2,22.4
11010801,0,1,50,160.5,44.4
11010802,1,1,48,143.2,36.9
11010803,0,1,28,165.3,47.4
11010804,1,1,26,153.6,45.4
11010805,1,0,5,111.4,16.7
11010806,1,0,4,99.4,14.7
11010807,0,0,2,82.9,9.8
11010808,0,0,14,152.3,40.6
11010809,0,0,12,132,22.7
11010810,0,0,.0833333,,
11010901,0,1,34,169.5,53.3
11010902,0,0,15,168.7,51.5
11010904,0,1,65,154.6,37.2
11010905,1,1,60,150.5,34
11011101,0,1,33,177.6,55.1
11011102,1,1,30,148.5,59.6
11011103,1,0,13,155.5,55
11011104,0,0,10,145,32.1
11011105,1,0,9,127,26.3
11011106,1,0,8,121.8,20.2
11011107,1,0,5,114.5,18.1
11011108,0,1,55,160.6,59.1
11011109,1,1,50,149.5,38.7
11011110,0,1,80,166.9,47.9
11011111,0,1,30,161.5,45.4
11011112,1,1,28,,
11011113,0,0,8,,
11011114,1,0,6,,
11011115,1,0,2,,
11011116,0,0,.1730769,,
