lwage,yrs_school,ttl_exp,black
2.462927,12,10.33333,1
1.856449,12,13.62179,1
1.612777,12,17.73077,1
2.200974,17,13.21154,0
2.089854,12,17.82051,0
1.532477,12,7.326923,0
2.350531,12,19.04487,0
2.845265,18,15.55769,0
2.57137,14,14.25,0
2.047121,15,7.384615,0
2.82111,16,15.76923,0
2.739748,15,16.38461,0
1.655079,15,7.75,0
2.318559,15,14.21154,0
2.268184,15,15.85897,0
2.203645,15,15.01282,0
2.085862,15,15.34616,0
2.406495,14,16.46795,0
2.259815,14,17.75,0
1.430455,12,15.9359,0
2.281429,16,8.839744,0
3.348382,18,16.20513,0
2.320934,12,17.25,0
1.115643,18,5.544872,0
1.260325,12,8.737179,0
1.766927,15,5.557693,0
3.576036,16,9.423077,0
1.488025,12,10.26923,0
1.615858,12,10.39744,0
1.754576,12,12.84615,0
1.631732,10,7.365385,0
3.225279,15,10.38461,0
1.482555,12,7.384615,0
1.549718,13,11.48077,0
2.085862,15,11.03846,0
2.817749,13,16.08333,0
1.744779,12,10.5,0
2.009313,12,9.442307,0
1.915963,14,14.44231,0
2.525729,11,14.5,1
2.87341,12,16.32692,0
2.491327,14,5.717949,0
2.241385,11,6.192307,0
2.578115,17,16.26923,0
2.403588,18,9.833333,0
1.320144,17,8.948718,0
1.392715,16,8.788462,0
2.382999,12,17.41667,1
1.469676,8,7.544871,1
1.549718,12,6.660256,0
2.274828,12,20.69872,1
1.06421,6,7.320513,0
2.309006,12,19.75,1
2.142242,12,19.03205,0
2.139402,12,14.23077,0
1.722831,12,6.153846,0
1.441505,12,12.26282,0
1.726326,10,10.24359,0
1.535949,12,6.128205,0
2.739748,17,9.833333,1
1.575037,9,8.5,1
3.693819,14,12.91026,0
2.739748,18,15.11538,0
2.305924,15,7.076923,0
1.287354,10,14.32692,0
2.229962,12,7.666667,0
2.324091,18,13.67308,0
2.303389,11,17.39744,0
1.441505,14,10.60256,0
1.575037,13,16.98077,0
2.047121,17,11.30128,0
2.287169,16,14.83333,0
2.385967,15,17.83333,0
1.169571,12,11.50641,1
2.099765,12,12.84615,1
2.134652,12,17.1218,0
2.115421,12,13.78846,0
2.269849,12,13.26923,0
1.511386,12,12.80128,0
1.207312,14,11.55128,0
2.134652,11,19.00641,0
1.79818,10,5.596154,1
2.334283,14,10.33333,0
2.451893,18,13.26923,1
1.612777,11,15.64103,1
1.862719,10,16.90385,0
1.615858,16,15.85256,0
1.575037,12,10.11538,0
2.404316,13,16.85897,0
2.118329,16,9.256411,0
2.57137,16,15.91667,0
1.727757,13,10.78846,0
2.530548,16,16.69231,0
1.899532,16,7.692307,0
1.729187,15,18.78846,0
1.392715,16,4.980769,0
2.894122,16,10.58974,0
1.758746,16,13.92308,0
3.205257,18,9.480769,0
1.976047,17,12.09615,0
1.546294,12,15.30128,0
2.541386,18,17.49359,0
2.258133,13,16.26923,0
1.823198,15,9.846154,0
2.03877,18,9.064103,0
2.283072,12,16.30769,0
1.392715,14,24.75,1
2.451893,16,11.65385,1
1.940836,12,10.8718,0
1.449095,12,5.365384,0
1.506043,14,14.57692,0
2.22214,14,11.01923,0
1.19913,16,7.653846,0
2.085862,16,16.44872,0
1.631732,11,11.33333,0
1.267936,12,9.019231,0
.0049396,10,7.480769,0
1.990452,12,16.16667,0
2.291656,16,15.55769,0
1.77252,13,10.10256,0
1.581681,12,5.519231,0
1.029977,12,19.13461,0
1.115744,12,7.596154,0
1.729187,12,15.60897,0
2.175702,12,15.23077,0
3.14608,16,12.07051,0
2.503255,16,12.15385,1
2.562716,18,14.90385,0
2.759316,16,15.80769,0
1.940836,14,16.83333,0
1.479015,12,13.83333,0
2.411284,18,14.17308,0
2.268184,15,9.653846,0
3.39203,16,14.88461,0
1.502465,12,8.346154,0
1.900459,14,12.09615,0
1.766927,12,7.365385,0
1.528993,12,16.11539,0
1.392715,9,3.852564,0
2.499956,14,19.07692,1
1.558229,16,16.11539,1
2.085862,15,13.39744,1
2.0079,9,10.90385,1
2.142242,16,13.76923,1
1.980502,14,9.019231,0
2.482622,14,17.60256,1
2.175702,12,10.19872,0
2.404316,14,17.09615,0
2.269849,14,16.51923,1
1.264881,13,14.36539,0
1.486205,12,7.128205,0
1.990452,16,10.40385,0
2.085862,12,24.47436,0
2.382999,14,15.05769,0
3.656079,12,15.24359,0
2.292063,12,11.60256,0
2.337398,13,8.083333,0
2.442837,12,17.50641,0
3.170713,16,13.5641,0
2.021857,13,21.73718,0
2.074801,12,21.32693,0
1.575037,13,7.134616,0
1.698727,14,1.75,0
2.085862,8,8.865385,0
1.878838,16,16.36539,0
1.181994,14,13.71154,0
1.575037,13,12.94231,0
2.129879,16,11.40385,0
2.805164,16,16.76923,0
1.820593,12,13.58974,0
1.746185,12,10.5,0
1.837401,12,13.19872,0
.0317383,18,9.307693,0
1.784757,14,12.00641,0
2.320934,14,11.9359,0
1.707525,16,15.10897,0
1.755968,15,9.269231,0
1.207312,12,7.839744,0
1.837401,12,8.5,0
.5440826,11,12.58974,0
1.248933,12,12.45513,0
1.291193,12,8.807693,0
.9862493,12,1.128205,0
2.047121,13,5.852564,0
2.434404,16,15.97436,0
1.951187,12,9.217949,0
1.895911,13,13.27564,0
1.115744,12,6.916667,0
2.060544,12,18.25,0
2.09779,11,13.28846,0
1.980502,9,1.923077,0
1.729187,13,10.91667,0
2.402131,12,14.1859,0
2.453279,16,9.211538,0
2.154455,14,8.807693,0
2.42074,14,17.67308,0
1.656616,10,5.775641,0
2.219518,13,10.96154,0
1.325095,12,7.038462,0
3.576036,14,9.557693,0
1.766927,8,19.19231,0
1.13112,13,6.903846,0
1.97939,14,17.46154,0
1.912698,11,15.44872,0
1.050224,12,7.275641,0
1.13135,12,10.35256,0
1.884968,12,5.897436,0
2.115421,12,14.5,0
1.615858,12,5.75641,0
1.287354,17,11.78846,0
2.404595,18,15.69231,1
1.894761,12,12.57692,1
2.516345,16,8.01282,0
1.980502,12,14.28846,0
2.151649,16,13.66667,0
2.553363,12,18.48077,0
1.412291,10,5.288462,0
2.334283,16,15.05769,0
1.796846,14,18.58333,0
3.656079,12,8.423077,0
2.018653,12,9.166667,0
1.271676,12,13.40385,0
1.918626,12,16.92949,0
1.847605,12,12.46154,0
1.775252,7,5.923077,0
1.695778,14,9.576923,0
1.665791,12,21.75,0
1.98319,12,10.07692,0
.4356018,16,11.82692,0
1.724892,16,11.02564,0
1.267936,12,10.16026,0
1.239563,9,7.730769,0
3.114409,13,16.98077,0
1.488025,6,3.346154,0
1.563986,12,9.423077,0
1.837401,12,17.01923,0
2.268184,16,14.07692,0
2.532469,12,16.36539,0
1.430455,12,6.416667,1
2.125082,12,8.121795,1
3.034426,16,11.46154,1
2.07783,14,7.967948,0
.9243098,11,6.173077,0
2.403588,12,14.44872,0
2.269849,12,17.12179,0
2.186612,16,4.25,0
1.437688,12,11.61539,0
1.430455,12,2.807692,0
.608475,16,17.19872,0
2.162343,16,9.301282,0
2.309006,12,9.557693,0
