Citizenship,UG,G,SpecialUG,SpecialG,ExhangeVisiting,Total
Albania,3,1,0,0,0,4
Antigua and Barbuda,,,,1,,1
Argentina,,19,,,,19
Armenia,3,2,,,,5
Australia,6,32,,,1,39
Austria,,11,,,5,16
Bahrain,2,,,,,2
Bangladesh,3,7,,,,10
Belarus,1,,,,,1
Belgium,1,8,,,7,16
Bolivia,,2,,,1,3
Bosnia-Hercegovina,1,1,,,,2
Brazil,7,57,7,5,19,95
Bulgaria,8,11,,,1,20
Cambodia,2,1,,,,3
Cameroon,4,3,,,,7
Canada,19,239,,1,3,262
Chile,,47,,,3,50
China (People's Republic Of),49,577,4,4,49,683
Colombia,5,22,,,1,28
Costa Rica,5,4,,,,9
Cote d'Ivoire,,1,,,,1
Croatia,,1,,,1,2
Cyprus,3,2,,,,5
Czech Republic,1,1,,,1,3
Denmark,,2,,2,7,11
Ecuador,3,2,,,1,6
Egypt,3,15,,,1,19
El Salvador,2,1,,,,3
Estonia,3,1,,,,4
Ethiopia,6,1,,,1,8
Finland,,3,,,,3
France,,86,,1,9,96
Georgia,2,2,,,,4
Germany,1,56,1,1,34,93
Ghana,4,4,,,,8
Greece,8,38,,,1,47
Guatemala,,2,,,,2
Haiti,,,,1,,1
Hong Kong,4,8,,,,12
Hungary,1,6,,,,7
Iceland,1,2,,,,3
India,18,283,3,10,11,325
Indonesia,8,11,,,1,20
Iran,2,35,,,10,47
Iraq,1,,,,,1
Ireland,1,11,,,1,13
Israel,4,65,,,3,72
Italy,3,34,,,24,61
Jamaica,4,1,,1,,6
Japan,4,67,,,3,74
Jordan,3,1,,,,4
Kazakhstan,6,3,,,,9
Kenya,8,4,,,,12
"Korea, South",27,221,,4,8,260
Kuwait,,1,,,,1
Latvia,,3,,,,3
Lebanon,2,22,,,1,25
Lithuania,1,2,,,,3
Macedonia,1,1,,,1,3
Malaysia,5,18,,,2,25
Mauritius,2,1,,,,3
Mexico,12,58,,1,4,75
Moldova,3,1,,,,4
Mongolia,4,2,,,,6
Montenegro,,1,,,,1
Morocco,,3,,,1,4
Nepal,5,9,,,1,15
Netherlands,1,10,,,7,18
New Zealand,2,9,,,1,12
Nigeria,4,13,,,,17
Norway,5,8,,2,3,18
Pakistan,6,23,,,3,32
Paraguay,1,1,,,,2
Peru,3,8,,,,11
Philippines,2,7,,,,9
Poland,3,8,,,5,16
Portugal,2,3,,,,5
Qatar,,1,,,,1
Romania,3,18,,,,21
Russia,5,33,,10,2,50
Rwanda,3,1,,,,4
Saudi Arabia,7,13,,10,,30
Serbia,3,6,,,,9
Sierra Leone,,1,,,,1
Singapore,9,88,,1,5,103
Slovakia,,1,,,,1
Somalia,1,,,,,1
South Africa,1,6,,,3,10
Spain,4,48,,,17,69
Sri Lanka,2,9,,,1,12
St. Lucia,1,1,,,,2
St. Vincent & The Grenadines,1,,,,,1
Sudan,,1,,,,1
Sweden,1,9,,,2,12
Switzerland,3,14,,,5,22
Syria,1,4,,,,5
Taiwan,9,71,,,4,84
Tanzania,3,,,,,3
Thailand,21,45,,1,1,68
Trinidad & Tobago,4,,,,,4
Tunisia,1,1,,,,2
Turkey,7,49,,,3,59
Uganda,4,2,,,,6
Ukraine,2,9,,,,11
United Arab Emirates,1,3,,,,4
United Kingdom,6,49,,1,13,69
Uruguay,,5,,,,5
Venezuela,,15,,,1,16
Vietnam,10,8,,1,1,20
West Bank,1,4,,,,5
Zambia,3,,,,,3
Zimbabwe,4,,,,,4
Unknown,,4,,,1,5
