seconds,count
1.16E+02,0.00E+00
1.12E+02,0.00E+00
1.60E+02,0.00E+00
5.15E+01,0.00E+00
1.02E+02,1.00E+00
7.74E+01,0.00E+00
1.45E+01,0.00E+00
1.07E+03,3.00E+00
9.91E+01,1.00E+00
4.96E+01,0.00E+00
5.08E+01,0.00E+00
7.72E+01,0.00E+00
1.14E+02,0.00E+00
1.65E+02,0.00E+00
1.06E+02,0.00E+00
5.29E+01,0.00E+00
1.04E+02,2.00E+00
5.10E+01,2.00E+00
5.14E+01,0.00E+00
3.16E+02,2.00E+00
6.87E+02,4.00E+00
1.01E+02,0.00E+00
9.97E+01,0.00E+00
4.92E+01,0.00E+00
4.92E+01,1.00E+00
1.04E+02,0.00E+00
5.35E+01,0.00E+00
1.24E+02,0.00E+00
1.68E+02,0.00E+00
1.09E+02,0.00E+00
1.07E+02,1.00E+00
1.03E+02,0.00E+00
5.21E+01,0.00E+00
1.04E+02,1.00E+00
6.56E+02,5.00E+00
1.11E+02,1.00E+00
4.17E+02,2.00E+00
1.49E+02,1.00E+00
5.65E+01,1.00E+00
1.25E+01,0.00E+00
1.01E+02,1.00E+00
1.07E+02,0.00E+00
1.13E+02,1.00E+00
8.08E+01,0.00E+00
1.10E+02,0.00E+00
1.09E+02,0.00E+00
1.05E+02,0.00E+00
1.04E+02,1.00E+00
1.07E+02,0.00E+00
5.33E+01,0.00E+00
5.11E+01,0.00E+00
8.68E+02,1.00E+00
1.05E+02,0.00E+00
1.05E+02,0.00E+00
1.03E+02,2.00E+00
1.04E+02,0.00E+00
1.05E+02,0.00E+00
5.21E+01,0.00E+00
5.23E+01,0.00E+00
1.11E+03,0.00E+00
3.04E+01,0.00E+00
1.16E+02,0.00E+00
4.49E+01,0.00E+00
4.61E+01,0.00E+00
9.79E+01,0.00E+00
1.02E+02,1.00E+00
1.62E+02,0.00E+00
1.02E+02,0.00E+00
1.02E+02,0.00E+00
9.87E+01,0.00E+00
9.87E+01,2.00E+00
1.03E+02,0.00E+00
5.16E+01,1.00E+00
5.31E+01,0.00E+00
1.29E+03,3.00E+00
5.68E+01,0.00E+00
8.92E+01,1.00E+00
5.28E+01,1.00E+00
7.22E+01,0.00E+00
1.11E+02,0.00E+00
5.77E+01,0.00E+00
3.28E+01,0.00E+00
9.96E+01,2.00E+00
5.09E+01,1.00E+00
5.12E+01,0.00E+00
1.35E+03,6.00E+00
6.91E+01,0.00E+00
6.77E+01,0.00E+00
3.82E+01,1.00E+00
3.79E+01,0.00E+00
3.13E+01,0.00E+00
1.21E+02,0.00E+00
5.58E+01,0.00E+00
4.60E+02,7.00E+00
1.28E+02,0.00E+00
3.87E+01,1.00E+00
4.18E+01,0.00E+00
8.17E+01,0.00E+00
8.83E+01,0.00E+00
3.74E+01,0.00E+00
