"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",-1.45769,-1.3942,-1.42779,-1.40715,-1.42668,-1.21719,-1.37386,-1.36832,-1.47649,-1.21583,-1.28137,-1.03209,-1.36149,-1.39979,0.17628,-1.40095,-1.56783,-1.20466,-1.24482,-1.60767,-1.06221,-1.12665,-1.20963,-1.48332,-1.25268,-1.27619,-1.23051,-1.43337,-1.08902,-1.29865,-1.26183,-1.44434,1.10147,-1.34158,-1.22961,-0.75919,0.84905,-0.66465
"2",-0.75161,-1.26278,-0.09052,-0.99596,-1.24245,-0.69242,-1.37386,-0.50803,-1.04533,-0.81257,-1.28137,-1.03209,-0.74005,-0.83161,0.412,-1.27669,-0.7437,-1.20466,-1.0238,-0.38779,-1.06221,-1.12665,-1.20963,-1.12185,-0.65264,-1.27619,-1.23051,-1.18065,-1.08902,-1.05094,-1.26183,-1.25918,0.97813,-0.79357,-1.22961,-0.71792,0.45127,-0.45804
"3",0.45695,-0.09654,0.90325,-0.07194,0.03232,0.09713,-0.11978,0.23381,0.23987,0.44201,-0.3956,-0.62533,0.45181,1.09519,1.09318,0.343,0.2001,0.38992,0.00641,1.10932,0.21952,-0.72267,0.5169,0.28577,0.61937,0.20085,0.29278,0.26624,-0.43377,-0.10823,-0.29385,0.05067,1.6943,-0.12472,0.04609,0.24347,0.90774,0.46509
"4",3.13533,0.21415,2.08754,2.23467,0.93811,2.24089,3.36576,1.97859,2.66468,-1.21583,0.5911,3.2605,-1.36149,0.6418,2.32621,-1.40095,-1.56783,0.83502,-1.24482,-1.60767,-1.06221,3.69445,3.70837,-1.48332,2.36698,-1.27619,2.89604,0.7199,0.29598,-1.29865,2.76869,2.0896,0.70003,0.13854,1.75908,0.06151,1.30297,0.58186
"5",2.76569,-1.27045,1.60433,1.53182,1.63728,1.85697,3.01847,1.12853,2.17016,-1.21583,-1.10133,2.59982,-1.36149,0.22853,2.34494,-1.40095,-1.56783,0.94532,-1.24482,-1.60767,-1.06221,3.52458,3.70837,-1.48332,1.79168,-1.27619,2.24892,0.02799,-1.08902,-1.29865,2.00518,1.17454,-1.47218,-1.34158,1.55086,-1.18107,1.01596,0.15788
"6",2.64342,1.01416,1.70477,1.63845,-0.36075,1.73451,3.36576,0.9687,2.72368,-1.21583,1.20192,2.83418,-1.36149,1.32744,1.52458,-1.40095,-1.56783,-0.2378,-1.24482,-1.60767,-1.06221,3.2547,2.73916,-1.48332,2.2343,-1.27619,1.83594,1.3111,-1.08902,-1.29865,1.7378,0.89347,-0.52883,-1.22168,0.90832,-1.39906,0.51266,1.36249
"7",3.16885,3.09954,2.99977,3.28898,3.19368,3.49405,3.06584,2.64622,2.84099,3.45407,3.31366,3.89822,2.79831,3.28765,3.08083,3.04061,2.72396,3.68131,3.37293,2.33296,-0.48271,3.55607,3.70837,2.95447,3.45335,2.57603,3.09344,3.18635,3.56217,2.8905,3.27934,3.06642,2.88576,3.30283,3.30751,2.81781,3.01414,3.27564
"8",2.8886,2.95355,2.99977,3.03972,3.21721,3.49405,3.10678,2.03278,2.8165,3.45407,3.31366,3.89822,2.76287,2.99666,2.96997,3.21636,2.54883,3.68131,3.49006,2.18525,-1.06221,3.36155,3.70837,2.86503,3.45161,2.81349,2.81873,2.95821,3.64076,2.79373,3.25933,2.84412,2.74728,3.1715,2.9101,2.81781,2.96104,3.21914
"9",3.22372,3.09954,2.99977,3.34097,3.27515,3.49405,3.21234,3.25724,2.84099,3.45407,3.31366,3.59116,3.04257,3.28765,3.08083,3.29544,2.66927,3.68131,3.12728,2.1759,0.53551,3.10338,3.70837,2.95165,2.8664,2.7207,3.28996,3.16946,3.04535,2.8905,3.27934,3.09505,2.88576,3.09109,3.20545,2.81781,3.01414,3.19656
"10",3.22372,3.09954,2.99977,3.35455,3.27515,3.49405,3.30274,3.25724,2.84099,3.45407,3.31366,3.89822,3.12429,3.28765,3.08083,3.41203,2.72396,3.68131,3.44332,2.5208,-1.06221,3.34463,3.70837,3.27836,3.25939,3.34671,3.55521,3.18635,3.40936,2.8905,3.27934,3.09505,2.88576,3.27673,3.49711,2.81781,3.01414,3.2307
