"","V1","V2","V3"
"1","36","AFFX-HUMISGF3A/M97935_MA_at (endogenous control)","AFFX-HUMISGF3A/M97935_MA_at"
"2","37","AFFX-HUMISGF3A/M97935_MB_at (endogenous control)","AFFX-HUMISGF3A/M97935_MB_at"
"3","38","AFFX-HUMISGF3A/M97935_3_at (endogenous control)","AFFX-HUMISGF3A/M97935_3_at"
"4","39","AFFX-HUMRGE/M10098_5_at (endogenous control)","AFFX-HUMRGE/M10098_5_at"
"5","40","AFFX-HUMRGE/M10098_M_at (endogenous control)","AFFX-HUMRGE/M10098_M_at"
"6","41","AFFX-HUMRGE/M10098_3_at (endogenous control)","AFFX-HUMRGE/M10098_3_at"
"7","42","AFFX-HUMGAPDH/M33197_5_at (endogenous control)","AFFX-HUMGAPDH/M33197_5_at"
"8","43","AFFX-HUMGAPDH/M33197_M_at (endogenous control)","AFFX-HUMGAPDH/M33197_M_at"
"9","45","AFFX-HSAC07/X00351_5_at (endogenous control)","AFFX-HSAC07/X00351_5_at"
"10","46","AFFX-HSAC07/X00351_M_at (endogenous control)","AFFX-HSAC07/X00351_M_at"
"11","48","AFFX-HUMTFRR/M11507_5_at (endogenous control)","AFFX-HUMTFRR/M11507_5_at"
"12","49","AFFX-HUMTFRR/M11507_M_at (endogenous control)","AFFX-HUMTFRR/M11507_M_at"
"13","50","AFFX-HUMTFRR/M11507_3_at (endogenous control)","AFFX-HUMTFRR/M11507_3_at"
"14","51","AFFX-M27830_5_at (endogenous control)","AFFX-M27830_5_at"
"15","52","AFFX-M27830_M_at (endogenous control)","AFFX-M27830_M_at"
"16","53","AFFX-M27830_3_at (endogenous control)","AFFX-M27830_3_at"
"17","54","AFFX-HSAC07/X00351_3_st (endogenous control)","AFFX-HSAC07/X00351_3_st"
"18","56","AFFX-HUMGAPDH/M33197_M_st (endogenous control)","AFFX-HUMGAPDH/M33197_M_st"
"19","57","AFFX-HUMGAPDH/M33197_3_st (endogenous control)","AFFX-HUMGAPDH/M33197_3_st"
"20","59","AFFX-HSAC07/X00351_M_st (endogenous control)","AFFX-HSAC07/X00351_M_st"
"21","60","GB DEF = GABAa receptor alpha-3 subunit","A28102_at"
"22","62","mRNA","AB000115_at"
"23","65","VRK1","AB000449_at"
"24","69","mRNA, clone RES4-24A, exon 1, 2, 3, 4","AB000464_at"
"25","72","Zinc finger protein, clone RES4-26","AB000468_at"
"26","73","Prostate differentiation factor mRNA","AB000584_at"
"27","78","GLIA MATURATION FACTOR BETA","AB001106_at"
"28","79","AQP3 Aquaporin 3","AB001325_at"
"29","81","KIAA0317 gene","AB002315_at"
"30","82","KIAA0320 gene, partial cds","AB002318_at"
"31","86","KIAA0384 gene","AB002382_at"
"32","88","Hunc18b2","AB002559_at"
"33","91","Proteasome subunit p27","AB003177_at"
"34","95","WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2","AC000061_cds2_at"
"35","98","WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22","AC000064_cds1_at"
"36","104","WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22","AC002073_cds1_at"
"37","107","COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence","AC002115_cds1_at"
"38","110","F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence","AC002115_rna2_at"
"39","119","RAS-RELATED PROTEIN RAB-11A","AF000231_at"
"40","123","TTF-I interacting peptide 20 mRNA, partial cds","AF000560_at"
"41","124","Uroplakin II mRNA, partial cds","AF000562_at"
"42","130","GB DEF = Angelman Syndrome Gene, E6-AP ubiquitin protein ligase 3A (UBE3A) mRNA from promoter P1, 5'UTR","AF002224_at"
"43","131","RET ligand 2 (RETL2) mRNA","AF002700_at"
"44","132","GB DEF = Delayed rectifier potassium channel (KVLQT1-Iso5) mRNA, 5' UTR and partial cds","AF003743_at"
"45","138","Fas-binding protein (DAXX) mRNA, partial cds","AF006041_at"
"46","139","Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA","AF006084_at"
"47","140","Arp2/3 protein complex subunit p20-Arc (ARC20) mRNA","AF006087_at"
"48","144","Dolichol monophosphate mannose synthase (DPM1) mRNA, partial cds","AF007875_at"
"49","145","Phospholipid scramblase mRNA","AF008445_at"
"50","146","GB DEF = Syntaxin-16C mRNA","AF008937_at"
"51","147","GB DEF = TEB4 protein mRNA","AF009301_at"
"52","151","MAD-related gene SMAD7 (SMAD7) mRNA","AF010193_at"
"53","153","Chemokine receptor X (CKRX) mRNA","AF014958_at"
"54","154","GB DEF = Unknown protein mRNA, partial cds","AF015910_at"
"55","155","GB DEF = SKB1Hs mRNA","AF015913_at"
"56","157","GB DEF = C8FW phosphoprotein","AJ000480_at"
"57","159","GB DEF = Rer1 protein","AJ001421_at"
"58","161","ANX2 Annexin II (lipocortin II)","D00017_at"
"59","163","TYMS Thymidylate synthase","D00596_at"
"60","164","GPX3 Glutathione peroxidase 3 (plasma)","D00632_at"
"61","166","GCSH Glycine cleavage system protein H (aminomethyl carrier)","D00723_at"
"62","167","FECH Ferrochelatase (protoporphyria)","D00726_at"
"63","168","PSMA3 Proteasome component C3","D00760_at"
"64","169","PSMA5 Proteasome component C5","D00761_at"
"65","170","PROTEASOME COMPONENT C8","D00762_at"
"66","171","GAPD Glyceraldehyde-3-phosphate dehydrogenase","D00763_at"
"67","172","PTAFR Platelet activating factor receptor","D10202_at"
"68","173","PRKCD Protein kinase C, delta","D10495_at"
"69","174","ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)","D10511_at"
"70","175","MACS Myristoylated alanine-rich C-kinase substrate","D10522_at"
"71","176","OGDH Oxoglutarate dehydrogenase (lipoamide)","D10523_at"
"72","179","PROBABLE G PROTEIN-COUPLED RECEPTOR HM74","D10923_at"
"73","180","GB DEF = Serotonin 1B receptor","D10995_at"
"74","181","IL2RG Interleukin 2 receptor gamma chain","D11086_at"
"75","182","26S PROTEASE REGULATORY SUBUNIT 7","D11094_at"
"76","185","PMP22 Peripheral myelin protein 22","D11428_at"
"77","195","GLO1 Glyoxalase I","D13315_at"
"78","196","DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE","D13370_at"
"79","197","PIGF Phosphatidylinositol glycan, class F","D13435_at"
"80","199","KIAA0001 gene","D13626_at"
"81","200","KIAA0002 gene","D13627_at"
"82","201","ANGPT1 Angiopoietin 1","D13628_at"
"83","202","KIAA0005 gene","D13630_at"
"84","206","KIAA0011 gene","D13636_at"
"85","208","CCND2 Cyclin D2","D13639_at"
"86","209","HLA-C Major histocompatibility complex, class I, C","D13640_at"
"87","210","KIAA0016 gene","D13641_at"
"88","212","KIAA0018 gene","D13643_at"
"89","214","KIAA0020 gene","D13645_at"
"90","215","EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1","D13748_at"
"91","217","Peptide YY precursor gene extracted from Human DNA for peptide YY","D13897_rna2_at"
"92","218","Mitochondrial short-chain enoyl-CoA hydratase","D13900_at"
"93","220","Rab GDI mRNA","D13988_at"
"94","221","PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24","D14043_at"
"95","228","KIAA0101 gene","D14657_at"
