yearID,teamID,R,RA,RperG,RAperG,W,L,WPct,Cook_WPct,Soolman_WPct,Kross_WPct,Smyth_WPct,BJames_Pythag_WPct,BJames_Pythag_WPctII
1906,CHN,705,381,4.6382,2.5066,116,36,0.7632,0.8955906,0.7199145,0.9252,0.7983,0.773958012165,0.755133080618
1902,PIT,775,440,5.5755,3.1655,103,36,0.7410,0.8525000,0.7476619,0.8807,0.7757,0.756240360099,0.738066175075
1909,PIT,699,447,4.5987,2.9408,110,42,0.7237,0.7568591,0.6711645,0.7819,0.7199,0.709752908877,0.693849577121
1954,CLE,746,504,4.8442,3.2727,111,43,0.7208,0.7163968,0.6620130,0.7401,0.6936,0.686605834193,0.672085635957
2001,SEA,927,627,5.7222,3.8704,116,46,0.7160,0.7155789,0.6900185,0.7392,0.6931,0.68611402538,0.671624769439
1927,NYA,975,599,6.3312,3.8896,110,44,0.7143,0.7878130,0.7501494,0.8139,0.7389,0.725986042739,0.709206190906
1907,CHN,574,390,3.7763,2.5658,107,45,0.7039,0.7123487,0.6259079,0.7359,0.6909,0.684162001429,0.66979615914
1931,PHA,858,626,5.6447,4.1184,107,45,0.7039,0.6633738,0.6565658,0.6853,0.6563,0.65260451757,0.640357083454
1998,NYA,965,656,5.9568,4.0494,114,48,0.7037,0.7119817,0.6955062,0.7355,0.6906,0.683939243266,0.669587545222
1939,NYA,967,556,6.4040,3.6821,106,45,0.7020,0.8417770,0.7789470,0.8696,0.7699,0.751543330185,0.733563313234
1932,NYA,1002,724,6.5065,4.7013,107,47,0.6948,0.6698453,0.6844286,0.6920,0.6611,0.656993286131,0.644438292032
1995,CLE,840,607,5.8333,4.2153,100,44,0.6944,0.6697858,0.6658264,0.6919,0.6610,0.656953267495,0.644401060215
1929,PHA,901,615,6.0067,4.1000,104,46,0.6933,0.7090797,0.6953800,0.7325,0.6887,0.682170809713,0.667931837335
1904,NY1,744,476,4.8627,3.1111,106,47,0.6928,0.7565042,0.6805556,0.7815,0.7197,0.709559652973,0.693667243896
1912,BOS,799,544,5.2566,3.5789,105,47,0.6908,0.7108750,0.6725395,0.7344,0.6899,0.683266316115,0.668957421268
1942,SLN,755,482,4.9026,3.1299,106,48,0.6883,0.7581328,0.6826883,0.7832,0.7207,0.710445205266,0.694502836454
1905,NY1,780,505,5.0980,3.3007,105,48,0.6863,0.7475644,0.6850327,0.7723,0.7140,0.704635608188,0.68902519621
1919,CIN,577,401,4.1214,2.8643,96,44,0.6857,0.6964289,0.6303643,0.7195,0.6800,0.674313896259,0.660584927609
1912,NY1,823,571,5.4503,3.7815,103,48,0.6821,0.6976042,0.6714437,0.7207,0.6808,0.675054067792,0.661276427413
1943,SLN,679,475,4.4091,3.0844,105,49,0.6818,0.6918653,0.6370325,0.7147,0.6768,0.671419583903,0.657882156405
1944,SLN,772,490,5.0130,3.1818,105,49,0.6818,0.7625469,0.6885974,0.7878,0.7235,0.712827897675,0.696752269727
1953,BRO,955,689,6.2013,4.4740,105,49,0.6818,0.6708563,0.6767078,0.6930,0.6618,0.657672710071,0.645070452419
1910,PHA,673,441,4.4867,2.9400,102,48,0.6800,0.7386213,0.6598200,0.7630,0.7083,0.69960148901,0.68428656446
1909,CHN,635,390,4.1503,2.5490,104,49,0.6797,0.7880513,0.6657843,0.8141,0.7390,0.726106334129,0.709320300309
1910,CHN,712,499,4.6234,3.2403,104,50,0.6753,0.6905972,0.6428377,0.7134,0.6759,0.670609634299,0.657126151968
1942,BRO,742,510,4.8182,3.3117,104,50,0.6753,0.7041725,0.6553506,0.7275,0.6853,0.679151905105,0.665107141391
1946,BOS,792,594,5.1429,3.8571,104,50,0.6753,0.6453333,0.6322857,0.6667,0.6429,0.64,0.62865666347
1961,NYA,827,612,5.1049,3.7778,109,53,0.6728,0.6540327,0.6365926,0.6757,0.6494,0.64614685495,0.634358872979
1969,BAL,779,517,4.8086,3.1914,109,53,0.6728,0.7292766,0.6667716,0.7534,0.7022,0.694222827268,0.679231373791
1911,PHA,861,601,5.7020,3.9801,101,50,0.6689,0.6933844,0.6766490,0.7163,0.6778,0.672386582762,0.658784946201
1915,BOS,669,499,4.4305,3.3046,101,50,0.6689,0.6488898,0.6165298,0.6703,0.6455,0.64252859042,0.631001503279
1942,NYA,801,507,5.2013,3.2922,103,51,0.6688,0.7646627,0.6964351,0.7899,0.7248,0.713960941412,0.6978225458
1954,NYA,805,563,5.2273,3.6558,103,51,0.6688,0.6920426,0.6616299,0.7149,0.6769,0.671532672742,0.657987725062
1936,NYA,1065,731,6.9608,4.7778,102,51,0.6667,0.7051436,0.7228889,0.7285,0.6860,0.67975219737,0.665668639878
1970,BAL,792,574,4.8889,3.5432,108,54,0.6667,0.6678188,0.6387160,0.6899,0.6596,0.655626397976,0.643166776555
