yearID,teamID,R,RA,RperG,RAperG,W,L,WPct,WinRatio,RunsRatio
1906,CHN,705,381,4.6382,2.5066,116,36,0.7632,3.2222,1.8504
1902,PIT,775,440,5.5755,3.1655,103,36,0.7410,2.8611,1.7614
1909,PIT,699,447,4.5987,2.9408,110,42,0.7237,2.6190,1.5638
1954,CLE,746,504,4.8442,3.2727,111,43,0.7208,2.5814,1.4802
2001,SEA,927,627,5.7222,3.8704,116,46,0.7160,2.5217,1.4785
1927,NYA,975,599,6.3312,3.8896,110,44,0.7143,2.5000,1.6277
1907,CHN,574,390,3.7763,2.5658,107,45,0.7039,2.3778,1.4718
1931,PHA,858,626,5.6447,4.1184,107,45,0.7039,2.3778,1.3706
1998,NYA,965,656,5.9568,4.0494,114,48,0.7037,2.3750,1.4710
1939,NYA,967,556,6.4040,3.6821,106,45,0.7020,2.3556,1.7392
1932,NYA,1002,724,6.5065,4.7013,107,47,0.6948,2.2766,1.3840
1995,CLE,840,607,5.8333,4.2153,100,44,0.6944,2.2727,1.3839
1929,PHA,901,615,6.0067,4.1000,104,46,0.6933,2.2609,1.4650
1904,NY1,744,476,4.8627,3.1111,106,47,0.6928,2.2553,1.5630
1912,BOS,799,544,5.2566,3.5789,105,47,0.6908,2.2340,1.4688
1942,SLN,755,482,4.9026,3.1299,106,48,0.6883,2.2083,1.5664
1905,NY1,780,505,5.0980,3.3007,105,48,0.6863,2.1875,1.5446
1919,CIN,577,401,4.1214,2.8643,96,44,0.6857,2.1818,1.4389
1912,NY1,823,571,5.4503,3.7815,103,48,0.6821,2.1458,1.4413
1943,SLN,679,475,4.4091,3.0844,105,49,0.6818,2.1429,1.4295
1944,SLN,772,490,5.0130,3.1818,105,49,0.6818,2.1429,1.5755
1953,BRO,955,689,6.2013,4.4740,105,49,0.6818,2.1429,1.3861
1910,PHA,673,441,4.4867,2.9400,102,48,0.6800,2.1250,1.5261
1909,CHN,635,390,4.1503,2.5490,104,49,0.6797,2.1224,1.6282
1910,CHN,712,499,4.6234,3.2403,104,50,0.6753,2.0800,1.4269
1942,BRO,742,510,4.8182,3.3117,104,50,0.6753,2.0800,1.4549
1946,BOS,792,594,5.1429,3.8571,104,50,0.6753,2.0800,1.3333
1961,NYA,827,612,5.1049,3.7778,109,53,0.6728,2.0566,1.3513
1969,BAL,779,517,4.8086,3.1914,109,53,0.6728,2.0566,1.5068
1911,PHA,861,601,5.7020,3.9801,101,50,0.6689,2.0200,1.4326
1915,BOS,669,499,4.4305,3.3046,101,50,0.6689,2.0200,1.3407
1942,NYA,801,507,5.2013,3.2922,103,51,0.6688,2.0196,1.5799
1954,NYA,805,563,5.2273,3.6558,103,51,0.6688,2.0196,1.4298
