visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
40,34,3,1,MIL,COL
38,34,2,1,MIL,COL
38,35,3,1,MIL,COL
35,31,0,2,COL,SDN
34,30,0,1,COL,SDN
34,36,0,2,COL,SDN
30,29,1,1,SFN,COL
31,35,1,1,SFN,COL
33,40,0,0,SFN,COL
36,33,3,1,SDN,COL
40,34,2,2,SDN,COL
29,27,1,0,SDN,COL
34,34,2,1,COL,NYN
39,40,0,0,COL,NYN
34,39,0,3,COL,NYN
31,26,0,1,COL,ARI
30,29,1,1,COL,ARI
34,36,1,1,COL,ARI
34,31,3,0,COL,ATL
37,38,3,0,COL,ATL
42,47,0,2,COL,ATL
33,29,0,1,ARI,COL
38,34,1,1,ARI,COL
33,35,1,1,ARI,COL
35,28,0,0,ARI,COL
47,33,3,1,LAN,COL
31,35,1,1,LAN,COL
36,35,0,1,LAN,COL
41,40,2,2,COL,TBA
35,35,0,2,COL,TBA
35,37,0,3,COL,TBA
30,30,0,1,COL,NYA
31,30,1,1,COL,NYA
32,29,1,0,COL,NYA
28,33,0,1,SLN,COL
29,35,0,0,SLN,COL
38,32,2,0,SLN,COL
28,36,1,1,CHN,COL
39,35,3,1,CHN,COL
33,31,1,2,CHN,COL
35,35,0,3,COL,SFN
42,37,1,2,COL,SFN
35,38,0,1,COL,SFN
32,37,0,0,COL,SFN
41,30,0,0,COL,ARI
36,38,0,1,COL,ARI
33,31,0,1,COL,ARI
34,31,2,0,SFN,COL
39,38,2,1,SFN,COL
32,34,0,1,SFN,COL
45,42,0,0,HOU,COL
32,29,0,0,HOU,COL
32,36,1,2,COL,HOU
35,34,2,0,COL,HOU
39,38,0,1,COL,LAN
39,42,1,2,COL,LAN
31,27,0,4,COL,LAN
31,30,0,1,CIN,COL
33,34,1,0,CIN,COL
46,32,6,1,CIN,COL
48,44,0,1,COL,SDN
43,38,3,1,COL,SDN
36,34,1,0,COL,SDN
39,41,3,1,COL,SDN
33,37,0,3,COL,WAS
32,30,0,0,COL,WAS
36,35,1,0,COL,WAS
39,38,0,2,COL,PHI
34,41,1,1,COL,PHI
32,32,0,2,COL,PHI
30,24,0,0,TOR,COL
32,35,0,3,TOR,COL
37,31,1,1,TOR,COL
33,34,0,1,WAS,COL
32,28,0,1,WAS,COL
38,31,2,1,WAS,COL
38,38,2,0,WAS,COL
39,41,1,0,BOS,COL
36,32,2,0,BOS,COL
35,31,1,0,COL,NYN
31,36,1,2,COL,SFN
31,30,0,0,COL,SFN
38,33,2,1,COL,SFN
39,30,2,0,COL,LAN
42,34,4,1,COL,LAN
40,33,2,1,COL,LAN
28,31,0,0,ARI,COL
30,35,1,3,ARI,COL
30,32,1,0,ARI,COL
33,34,0,0,SDN,COL
31,32,0,0,SDN,COL
37,35,0,1,SDN,COL
33,33,1,0,LAN,COL
32,29,0,0,LAN,COL
28,27,0,0,LAN,COL
35,33,1,0,LAN,COL
33,28,1,1,COL,CHN
33,35,1,1,COL,CHN
33,29,1,0,COL,CHN
31,35,1,1,COL,MIA
37,30,1,1,COL,MIA
37,28,0,0,COL,MIA
34,32,1,0,COL,MIA
34,33,1,0,COL,MIL
35,35,2,2,COL,MIL
37,35,2,4,COL,MIL
40,38,2,0,ATL,COL
30,39,1,3,ATL,COL
31,39,0,1,ATL,COL
34,37,0,3,ATL,COL
36,32,1,0,PIT,COL
30,31,0,1,PIT,COL
31,30,0,1,PIT,COL
32,30,1,0,NYN,COL
30,31,0,0,NYN,COL
33,28,1,0,NYN,COL
35,40,0,1,COL,PIT
36,33,0,0,COL,PIT
31,30,1,0,COL,PIT
31,42,2,1,COL,SDN
37,36,2,0,COL,SDN
33,31,0,0,COL,SDN
33,31,4,2,BAL,COL
37,34,0,0,BAL,COL
34,39,0,2,BAL,COL
33,31,1,2,PHI,COL
36,29,2,0,PHI,COL
34,35,1,1,PHI,COL
34,36,1,1,PHI,COL
35,29,0,1,MIA,COL
31,27,0,0,MIA,COL
32,31,0,1,MIA,COL
33,33,0,2,COL,SFN
37,33,2,0,COL,SFN
34,33,0,0,COL,SFN
33,41,1,2,COL,CIN
38,33,1,1,COL,CIN
38,34,1,2,COL,CIN
40,41,1,1,COL,LAN
36,32,0,1,COL,LAN
37,33,0,1,COL,LAN
32,30,1,2,SDN,COL
31,30,0,1,SDN,COL
33,30,0,0,SDN,COL
37,38,0,1,SFN,COL
37,39,2,1,SFN,COL
34,31,0,0,SFN,COL
41,35,0,1,ARI,COL
32,37,0,1,ARI,COL
35,35,1,2,ARI,COL
31,34,0,0,COL,SLN
43,36,1,0,COL,SLN
36,38,0,0,COL,SLN
52,63,0,2,COL,SLN
33,35,2,4,COL,ARI
40,36,1,0,COL,ARI
41,43,1,0,COL,ARI
34,35,1,3,COL,BOS
44,33,3,1,COL,BOS
31,38,0,3,LAN,COL
32,31,0,0,LAN,COL
35,31,0,0,LAN,COL
