visitor_ab,home_ab,visitor_hr,home_hr,visitor_h,home_h,visitor_2b,home_2b,visitor_3b,home_3b,visitor_bb,home_bb,home,visitor,year
35,31,3,0,8,4,2,2,0,0,1,1,PHI,ATL,2009
35,34,3,5,10,12,3,3,0,0,3,3,ARI,COL,2009
34,28,1,0,9,3,1,1,0,0,7,5,CIN,NYN,2009
36,36,1,4,9,12,3,4,0,0,0,4,FLO,WAS,2009
34,30,2,0,9,8,1,0,0,0,2,4,HOU,CHN,2009
34,30,1,0,9,5,0,2,0,0,3,3,SDN,LAN,2009
38,37,0,1,11,10,3,3,0,0,6,2,SLN,PIT,2009
29,33,0,1,3,9,1,1,0,0,2,1,ANA,OAK,2009
34,33,2,1,11,14,2,3,1,1,6,8,BAL,NYA,2009
31,31,2,0,6,6,1,1,0,0,2,3,MIN,SEA,2009
30,39,0,2,5,15,0,4,0,0,1,1,TEX,CLE,2009
34,37,2,2,8,15,1,4,0,1,1,4,TOR,DET,2009
32,31,1,0,6,5,2,1,0,0,1,3,ARI,COL,2009
38,33,1,2,11,9,2,1,0,2,1,5,FLO,WAS,2009
33,36,1,1,6,10,1,0,0,1,3,6,HOU,CHN,2009
34,34,2,0,8,6,1,1,0,0,2,4,PHI,ATL,2009
31,28,0,0,5,6,2,2,0,1,5,4,SDN,LAN,2009
34,34,0,3,10,12,4,2,0,1,8,5,SFN,MIL,2009
31,36,1,3,5,12,1,2,0,1,1,8,SLN,PIT,2009
43,34,0,0,16,8,4,4,0,0,2,6,ANA,OAK,2009
29,32,0,2,3,9,1,3,0,0,4,4,BOS,TBA,2009
35,32,1,1,7,11,2,1,0,0,3,0,CHA,KCA,2009
35,34,0,0,11,8,1,1,0,1,3,3,MIN,SEA,2009
31,31,1,2,8,5,3,1,0,0,5,3,TOR,DET,2009
34,31,3,1,9,5,1,0,0,0,6,1,ARI,COL,2009
36,35,1,1,10,9,3,1,0,1,7,9,CIN,NYN,2009
32,30,0,0,5,10,2,1,0,0,10,4,FLO,WAS,2009
43,38,2,5,16,11,4,3,0,0,6,0,HOU,CHN,2009
39,34,3,1,12,11,4,3,0,1,6,10,PHI,ATL,2009
34,28,1,0,10,3,2,1,0,0,8,4,SDN,LAN,2009
31,33,2,0,5,6,3,2,0,0,2,3,SFN,MIL,2009
42,30,1,0,17,7,4,3,0,0,2,5,SLN,PIT,2009
42,34,0,0,15,9,0,1,0,0,4,3,ANA,OAK,2009
37,30,1,1,9,9,4,4,0,0,3,6,BAL,NYA,2009
37,34,2,0,13,8,3,2,0,0,2,3,BOS,TBA,2009
32,28,0,0,6,3,2,0,0,0,2,3,CHA,KCA,2009
35,32,2,2,10,9,2,4,0,0,1,2,MIN,SEA,2009
37,32,1,3,7,9,2,3,0,1,3,3,TEX,CLE,2009
33,32,3,0,8,6,0,2,0,0,2,2,TOR,DET,2009
34,31,0,1,10,9,2,0,0,0,2,5,CIN,NYN,2009
33,30,0,1,8,7,0,2,1,1,7,6,SDN,LAN,2009
31,33,0,0,5,12,2,4,0,0,2,4,SFN,MIL,2009
30,29,0,0,1,8,0,0,0,0,2,1,SLN,PIT,2009
40,33,3,1,13,7,3,1,0,0,3,1,BAL,NYA,2009
35,35,3,1,10,7,4,2,0,1,7,5,BOS,TBA,2009
36,31,1,0,9,4,3,1,0,0,3,4,CHA,KCA,2009
32,31,0,0,8,5,2,0,0,0,2,2,MIN,SEA,2009
37,36,5,2,11,13,2,3,0,0,5,5,TEX,CLE,2009
33,36,1,3,9,13,1,2,1,0,2,1,TOR,DET,2009
33,32,1,1,8,10,2,2,0,0,3,6,ARI,LAN,2009
40,38,0,1,14,14,3,4,0,0,7,5,ATL,WAS,2009
31,34,1,1,7,14,2,5,0,1,3,2,COL,PHI,2009
36,37,1,2,11,11,1,0,0,0,6,3,FLO,NYN,2009
33,29,2,1,9,4,3,2,0,0,5,7,MIL,CHN,2009
34,33,0,1,8,10,1,2,0,0,3,5,SDN,SFN,2009
35,29,1,1,11,6,2,2,0,0,3,8,SLN,HOU,2009
31,32,0,0,7,10,1,2,0,0,3,6,ANA,BOS,2009
34,33,3,0,9,11,2,3,0,0,2,4,BAL,TBA,2009
41,34,2,2,15,7,1,1,1,0,7,4,CHA,MIN,2009
41,33,2,3,17,7,6,2,0,0,5,8,CLE,TOR,2009
32,37,1,2,6,14,0,2,0,1,3,8,DET,TEX,2009
33,31,0,0,7,4,2,2,0,0,3,1,KCA,NYA,2009
33,35,0,0,9,8,1,2,0,0,3,7,OAK,SEA,2009
36,32,1,0,11,6,5,1,0,1,5,2,ARI,LAN,2009
30,34,1,1,5,11,1,3,0,0,5,4,ATL,WAS,2009
37,30,3,0,12,6,3,1,1,0,5,3,CIN,PIT,2009
41,31,1,3,15,4,3,1,1,0,5,1,COL,PHI,2009
38,36,1,0,15,11,5,1,0,0,3,3,FLO,NYN,2009
36,34,3,1,9,9,2,2,0,0,3,6,MIL,CHN,2009
31,29,0,3,7,6,3,1,1,0,0,5,SDN,SFN,2009
31,38,0,2,7,19,0,2,1,0,4,2,SLN,HOU,2009
32,34,3,3,8,8,1,3,0,0,3,4,ANA,BOS,2009
34,33,0,1,8,9,3,2,0,0,2,5,BAL,TBA,2009
32,33,0,1,6,10,0,2,0,0,5,6,CHA,MIN,2009
34,34,0,0,11,8,2,3,0,0,7,5,CLE,TOR,2009
31,30,1,0,2,10,0,3,0,0,4,7,DET,TEX,2009
35,33,1,0,9,7,3,1,1,0,6,1,KCA,NYA,2009
36,35,1,1,12,9,1,2,0,0,3,4,OAK,SEA,2009
32,28,0,0,6,3,1,1,0,0,4,2,ARI,LAN,2009
35,33,0,0,10,11,1,3,0,2,6,3,ATL,WAS,2009
29,27,0,1,3,7,1,2,0,0,0,5,CIN,PIT,2009
36,36,2,1,13,9,3,1,0,0,1,5,COL,PHI,2009
30,29,0,0,5,3,2,1,0,0,1,1,FLO,NYN,2009
32,33,1,2,5,8,2,1,0,0,10,4,MIL,CHN,2009
32,33,0,1,6,13,1,2,0,1,0,4,SDN,SFN,2009
30,28,0,0,3,6,0,1,0,0,0,3,SLN,HOU,2009
