visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
30,39,0,2,TEX,CLE
29,32,0,2,BOS,TBA
37,34,2,0,BOS,TBA
37,32,1,3,TEX,CLE
35,35,3,1,BOS,TBA
37,36,5,2,TEX,CLE
31,32,0,0,ANA,BOS
41,33,2,3,CLE,TOR
32,34,3,3,ANA,BOS
34,34,0,0,CLE,TOR
34,31,2,1,ANA,BOS
30,33,1,2,CLE,TOR
37,28,0,1,KCA,CLE
32,33,1,2,OAK,BOS
35,33,0,2,KCA,CLE
48,45,0,0,OAK,BOS
33,32,0,1,KCA,CLE
36,32,2,0,OAK,BOS
39,34,2,1,NYA,CLE
38,33,1,2,BOS,BAL
32,33,1,5,NYA,CLE
35,36,0,1,BOS,BAL
52,33,6,2,NYA,CLE
32,29,0,0,BOS,BAL
29,32,2,1,NYA,CLE
31,39,0,1,BOS,BAL
34,31,1,2,CLE,KCA
27,31,0,3,BOS,MIN
31,27,1,1,BOS,MIN
33,31,0,0,CLE,KCA
31,31,0,1,CLE,KCA
41,42,0,2,BOS,NYA
36,34,1,0,CLE,MIN
42,33,3,3,BOS,NYA
41,35,3,0,CLE,MIN
33,29,0,0,BOS,NYA
32,30,0,0,CLE,MIN
34,31,1,0,CLE,BOS
38,39,0,2,CLE,BOS
40,36,1,2,CLE,BOS
27,42,0,2,TBA,BOS
38,35,1,1,DET,CLE
33,27,0,2,TBA,BOS
36,31,0,2,DET,CLE
38,37,1,1,TBA,BOS
30,36,0,1,DET,CLE
34,33,1,0,TBA,BOS
37,36,2,3,NYA,BOS
50,52,1,0,TOR,CLE
34,36,1,1,NYA,BOS
38,35,0,2,TOR,CLE
38,32,2,0,BOS,CLE
30,36,0,1,BOS,CLE
34,38,0,2,BOS,TBA
32,27,0,0,CLE,DET
42,37,1,2,BOS,TBA
31,32,0,0,CLE,DET
33,32,0,0,BOS,TBA
30,36,1,0,CLE,DET
37,36,0,0,CLE,CHA
34,30,1,0,ANA,BOS
36,33,3,0,CLE,CHA
30,37,1,2,ANA,BOS
33,31,0,2,CLE,CHA
51,41,0,0,ANA,BOS
43,33,1,1,TBA,CLE
36,35,0,2,SEA,BOS
36,32,2,2,TBA,CLE
30,33,3,1,SEA,BOS
32,30,0,1,TBA,CLE
32,35,1,1,SEA,BOS
34,30,2,0,TBA,CLE
32,28,1,0,BOS,TOR
34,33,1,2,KCA,CLE
40,36,0,5,BOS,TOR
36,33,0,0,KCA,CLE
37,31,0,1,BOS,TOR
40,34,0,0,KCA,CLE
29,27,1,0,CIN,CLE
32,35,1,1,BOS,NYN
32,38,1,3,CIN,CLE
33,32,1,0,BOS,NYN
37,40,0,1,CIN,CLE
33,39,1,2,BOS,NYN
36,38,1,2,CLE,TBA
42,35,1,2,MIN,BOS
32,31,1,4,CLE,TBA
35,28,0,1,MIN,BOS
39,38,1,2,CLE,TBA
32,34,1,0,MIN,BOS
35,29,1,0,CLE,TBA
30,30,2,1,MIN,BOS
35,33,0,0,CLE,NYA
36,34,1,0,TOR,BOS
40,32,2,2,CLE,NYA
30,37,1,1,TOR,BOS
34,29,1,0,CLE,NYA
34,31,4,1,TOR,BOS
30,29,0,1,CLE,NYA
36,33,1,0,DET,BOS
36,31,1,1,MIN,CLE
38,33,1,0,DET,BOS
42,31,1,0,MIN,CLE
31,34,0,0,DET,BOS
34,36,1,4,MIN,CLE
33,35,1,0,BOS,TEX
35,29,3,0,CHA,CLE
28,33,0,2,BOS,TEX
34,29,0,1,CHA,CLE
38,28,2,1,BOS,TEX
36,32,4,1,CHA,CLE
28,33,0,2,BOS,NYA
36,30,1,1,CLE,KCA
36,33,3,2,BOS,NYA
36,32,3,0,CLE,KCA
36,31,0,1,BOS,NYA
40,34,1,0,CLE,KCA
48,43,2,1,PHI,BOS
34,32,1,0,CLE,SLN
38,40,2,3,PHI,BOS
35,31,2,0,CLE,SLN
35,37,3,1,PHI,BOS
30,28,0,2,CLE,SLN
38,38,2,4,CLE,MIL
32,36,0,1,BOS,FLO
38,37,0,2,CLE,MIL
33,31,0,1,BOS,FLO
45,44,3,0,CLE,MIL
22,17,2,1,BOS,FLO
36,41,2,3,CHN,CLE
34,29,1,1,BOS,ATL
46,48,3,2,CHN,CLE
29,31,0,0,BOS,ATL
32,29,0,1,CHN,CLE
39,31,0,2,BOS,ATL
33,36,1,1,PIT,CLE
43,32,1,0,WAS,BOS
